,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2108,2,35,1,estado,-0.0586378648877143,-0.0398152098059654,0.0188226550817489,0.0117586309813517,0.0015758407862501,GPT2,0.32099830233915266,0.192006269592476
2109,3,35,1,estado,-0.0535987205803394,-0.0488032847642898,0.0047954358160495,0.0093377059315668,0.001337954014567,GPT2,0.08946922173005405,0.192006269592476
2110,4,35,1,estado,-0.0592087805271148,-0.0629798024892807,-0.0037710219621658,0.0036490652313891,0.0012809097812257,GPT2,-0.06369024878732224,0.192006269592476
2111,5,35,1,estado,-0.0586118325591087,-0.0593824796378612,-0.0007706470787525,0.0027583396121701,0.0013073444123684,GPT2,-0.013148319120978238,0.192006269592476
2112,6,35,1,estado,-0.049632292240858,-0.0576300844550132,-0.0079977922141551,0.0009515941777127,0.0012896677425232,GPT2,-0.1611408994640651,0.192006269592476
2113,7,35,1,estado,-0.0633545815944671,-0.0569929555058479,0.0063616260886192,0.0058697552539091,0.0016660939255716,GPT2,0.10041303925484003,0.192006269592476
2114,8,35,1,estado,-0.0949372798204422,-0.0884431600570678,0.0064941197633743,0.0124115632311936,0.0020811193334741,GPT2,0.06840431678321653,0.192006269592476
2115,9,35,1,estado,-0.1070990264415741,-0.0791486427187919,0.0279503837227821,0.019153790508813,0.0025637835686533,GPT2,0.26097701026283376,0.192006269592476
2116,10,35,1,estado,-0.1130402833223342,-0.0690593495965004,0.0439809337258338,0.0245484481714269,0.0032758754261026,GPT2,0.38907310237733783,0.192006269592476
2117,11,35,1,estado,-0.100952923297882,-0.057304136455059,0.043648786842823,0.0249562705272531,0.0033842132704647,GPT2,0.4323677355437091,0.192006269592476
2118,12,35,1,estado,-0.1025426313281059,-0.0486989952623844,0.0538436360657215,0.0303520350122546,0.0035309770269601,GPT2,0.5250853754029179,0.192006269592476
2119,0,35,2,estado,0.0990395918488502,0.0990395918488502,0.0,0.0,0.0,GPT2,0.0,0.187062937062937
2120,1,35,2,estado,-0.02143195271492,-0.0173501633107662,0.0040817894041538,0.0072556414364024,0.0018334550467256,GPT2,0.1904534532363089,0.187062937062937
2121,2,35,2,estado,-0.0391425043344497,-0.0272212885320186,0.0119212158024311,0.0117586309813517,0.0015758407862501,GPT2,0.30455935319240984,0.187062937062937
2122,3,35,2,estado,-0.0295809097588062,-0.0191041640937328,0.0104767456650733,0.0093377059315668,0.001337954014567,GPT2,0.35417253054411174,0.187062937062937
2123,4,35,2,estado,-0.0240576528012752,-0.014656439423561,0.0094012133777141,0.0036490652313891,0.0012809097812257,GPT2,0.3907784959476961,0.187062937062937
2124,5,35,2,estado,-0.0267058201134204,-0.0041995197534561,0.0225063003599643,0.0027583396121701,0.0013073444123684,GPT2,0.8427488938508304,0.187062937062937
2125,6,35,2,estado,-0.0139366723597049,-0.0022816322743892,0.0116550400853157,0.0009515941777127,0.0012896677425232,GPT2,0.8362857204718336,0.187062937062937
2126,7,35,2,estado,-0.0259921867400407,0.0049594789743423,0.0309516657143831,0.0058697552539091,0.0016660939255716,GPT2,1.190806530591067,0.187062937062937
2127,8,35,2,estado,-0.0415124744176864,-0.0006857458502054,0.040826728567481,0.0124115632311936,0.0020811193334741,GPT2,0.9834809690382311,0.187062937062937
2128,9,35,2,estado,-0.045147456228733,0.0114972200244665,0.0566446762531995,0.019153790508813,0.0025637835686533,GPT2,1.2546593094020073,0.187062937062937
2129,10,35,2,estado,-0.0556225553154945,0.0168143175542354,0.07243687286973,0.0245484481714269,0.0032758754261026,GPT2,1.3022931517414755,0.187062937062937
2130,11,35,2,estado,-0.0455036237835884,0.0226016417145729,0.0681052654981613,0.0249562705272531,0.0033842132704647,GPT2,1.4966998193828365,0.187062937062937
2131,12,35,2,estado,-0.0552876070141792,0.021535076200962,0.0768226832151413,0.0303520350122546,0.0035309770269601,GPT2,1.3895100071059154,0.187062937062937
2132,0,36,1,pastor,0.4730708003044128,0.4730708003044128,0.0,0.0,0.0,GPT2,0.0,0.194078947368421
2133,1,36,1,pastor,0.0586438216269016,0.070170409977436,0.0115265883505344,0.0072556414364024,0.0018334550467256,GPT2,0.19655247613069646,0.194078947368421
2134,2,36,1,pastor,0.0126588698476552,0.0377503484487533,0.025091478601098,0.0117586309813517,0.0015758407862501,GPT2,1.9821262800759258,0.194078947368421
2135,3,36,1,pastor,-0.0224097371101379,-0.0143532883375883,0.0080564487725496,0.0093377059315668,0.001337954014567,GPT2,0.3595066168315272,0.194078947368421
2136,4,36,1,pastor,-0.0456138551235199,-0.0473848134279251,-0.0017709583044052,0.0036490652313891,0.0012809097812257,GPT2,-0.038825008314020915,0.194078947368421
2137,5,36,1,pastor,-0.0572009794414043,-0.0598602332174778,-0.0026592537760734,0.0027583396121701,0.0013073444123684,GPT2,-0.04648965458358263,0.194078947368421
2138,6,36,1,pastor,-0.0512886866927146,-0.0739153921604156,-0.0226267054677009,0.0009515941777127,0.0012896677425232,GPT2,-0.4411636742282786,0.194078947368421
2139,7,36,1,pastor,-0.0589587464928627,-0.0803585648536682,-0.0213998183608055,0.0058697552539091,0.0016660939255716,GPT2,-0.3629625735580398,0.194078947368421
2140,8,36,1,pastor,-0.0581113770604133,-0.0799041911959648,-0.0217928141355514,0.0124115632311936,0.0020811193334741,GPT2,-0.3750180298239263,0.194078947368421
2141,9,36,1,pastor,-0.052123486995697,-0.0791972577571868,-0.0270737707614898,0.019153790508813,0.0025637835686533,GPT2,-0.5194159547254552,0.194078947368421
2142,10,36,1,pastor,-0.05659906193614,-0.0899415463209152,-0.0333424843847751,0.0245484481714269,0.0032758754261026,GPT2,-0.5890995936009522,0.194078947368421
2143,11,36,1,pastor,-0.006563076749444,-0.0653904005885124,-0.0588273238390684,0.0249562705272531,0.0033842132704647,GPT2,-8.963375880687673,0.194078947368421
2144,12,36,1,pastor,-0.0198682658374309,-0.0543170310556888,-0.0344487652182579,0.0303520350122546,0.0035309770269601,GPT2,-1.7338586819871322,0.194078947368421
2145,0,36,2,pastor,0.4717378914356231,0.4717378914356231,0.0,0.0,0.0,GPT2,0.0,0.235338345864662
2146,1,36,2,pastor,-0.0107800029218196,0.0079202819615602,0.0187002848833799,0.0072556414364024,0.0018334550467256,GPT2,1.734719834400871,0.235338345864662
2147,2,36,2,pastor,-0.0526333414018154,-0.0430837944149971,0.0095495469868183,0.0117586309813517,0.0015758407862501,GPT2,0.1814353170914002,0.235338345864662
2148,3,36,2,pastor,-0.0771834701299667,-0.0772216692566871,-3.819912672042847e-05,0.0093377059315668,0.001337954014567,GPT2,-0.0004949133105324036,0.235338345864662
2149,4,36,2,pastor,-0.095653049647808,-0.1009890735149383,-0.0053360238671302,0.0036490652313891,0.0012809097812257,GPT2,-0.05578519332919747,0.235338345864662
